"p","x","q","y","cond","id"
40,500,100,200,"Uniform",227
60,500,80,200,"Uniform",228
60,500,100,200,"Uniform",229
80,500,100,200,"Uniform",230
20,500,40,300,"Uniform",231
20,500,60,300,"Uniform",232
20,500,80,300,"Uniform",233
20,500,100,300,"Uniform",234
40,500,60,300,"Uniform",235
40,500,80,300,"Uniform",236
40,500,100,300,"Uniform",237
60,500,80,300,"Uniform",238
60,500,100,300,"Uniform",239
80,500,100,300,"Uniform",240
20,500,40,400,"Uniform",241
20,500,60,400,"Uniform",242
20,500,80,400,"Uniform",243
20,500,100,400,"Uniform",244
40,500,60,400,"Uniform",245
40,500,80,400,"Uniform",246
40,500,100,400,"Uniform",247
60,500,80,400,"Uniform",248
60,500,100,400,"Uniform",249
80,500,100,400,"Uniform",250
20,200,60,100,"Uniform",251
20,200,80,100,"Uniform",252
20,200,100,100,"Uniform",253
40,200,100,100,"Uniform",254
60,200,80,100,"Uniform",255
20,300,40,100,"Uniform",256
20,300,80,100,"Uniform",257
40,300,60,100,"Uniform",258
40,300,80,100,"Uniform",259
60,300,100,100,"Uniform",260
20,300,40,200,"Uniform",261
20,300,60,200,"Uniform",262
40,300,60,200,"Uniform",263
40,300,80,200,"Uniform",264
60,300,100,200,"Uniform",265
20,400,80,100,"Uniform",266
20,400,100,100,"Uniform",267
40,400,100,100,"Uniform",268
60,400,80,100,"Uniform",269
80,400,100,100,"Uniform",270
20,400,80,200,"Uniform",271
40,400,80,200,"Uniform",272
40,400,100,200,"Uniform",273
60,400,80,200,"Uniform",274
80,400,100,200,"Uniform",275
20,400,40,300,"Uniform",276
40,400,60,300,"Uniform",277
40,400,80,300,"Uniform",278
60,400,100,300,"Uniform",279
80,400,100,300,"Uniform",280
20,500,40,100,"Uniform",281
40,500,60,100,"Uniform",282
40,500,80,100,"Uniform",283
40,500,100,100,"Uniform",284
80,500,100,100,"Uniform",285
20,500,60,200,"Uniform",286
20,500,100,200,"Uniform",287
40,500,100,200,"Uniform",288
60,500,80,200,"Uniform",289
80,500,100,200,"Uniform",290
20,500,60,300,"Uniform",291
20,500,80,300,"Uniform",292
20,500,100,300,"Uniform",293
60,500,80,300,"Uniform",294
60,500,100,300,"Uniform",295
20,500,40,400,"Uniform",296
20,500,60,400,"Uniform",297
20,500,100,400,"Uniform",298
40,500,60,400,"Uniform",299
60,500,100,400,"Uniform",300
20,20,40,10,"Both",301
20,20,60,10,"Both",302
40,20,60,10,"Both",303
40,20,100,10,"Both",304
60,20,80,10,"Both",305
20,50,40,10,"Both",306
20,50,60,10,"Both",307
20,50,80,10,"Both",308
40,50,100,10,"Both",309
60,50,80,10,"Both",310
20,50,80,20,"Both",311
20,50,100,20,"Both",312
40,50,60,20,"Both",313
40,50,80,20,"Both",314
40,50,100,20,"Both",315
20,100,100,10,"Both",316
40,100,60,10,"Both",317
40,100,80,10,"Both",318
60,100,100,10,"Both",319
