sub.id,sub.no,cond,experiment.duration,user.agent,PA.id,verification,time,ip
45,41,Both,529336,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",A1MYLQQL8BBOYT,qfit6pvag3cy2e29,19:20:42 Tue 01 Sep 15,32.213.151.213
46,15,Positive,551132,"Mozilla/5.0 (Windows NT 6.3 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",A4T1X0PO5N1G9,2qh6zwt0xjemi,19:20:42 Tue 01 Sep 15,67.3.91.253
47,37,Uniform,550994,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",A1DY4DM16TBFPL,olhsjqg0oe597ldi,19:21:00 Tue 01 Sep 15,67.249.229.4
48,5,Both,590715,"Mozilla/5.0 (Windows NT 10.0 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",A1KN3TP3P2NJHC,mnzaujuayx3nxw29,19:21:14 Tue 01 Sep 15,98.251.73.101
49,101,Both,462937,"Mozilla/5.0 (Windows NT 10.0 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",A2AGQGMZVSZVUJ,4wh5iozdx24eu3di,19:21:16 Tue 01 Sep 15,71.93.209.75
50,126,Positive,256129,"Mozilla/5.0 (Windows NT 6.3 WOW64 rv:40.0) Gecko/20100101 Firefox/40.0",AA3F8MM6VNDCX,u1o0tvzkjwa,19:21:18 Tue 01 Sep 15,174.49.112.83
51,11,Both,590512,"Mozilla/5.0 (Windows NT 6.0 rv:40.0) Gecko/20100101 Firefox/40.0",ASFFW3A9FFHPN,gq9rvoxxjw4,19:21:20 Tue 01 Sep 15,68.110.21.72
52,21,Positive,587493,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",A1MB3A5MC58LK6,030y9yybw4xtj4i,19:21:25 Tue 01 Sep 15,216.131.74.5
53,91,Uniform,498252,"Mozilla/5.0 (Windows NT 6.0 rv:40.0) Gecko/20100101 Firefox/40.0",A3HNPSPTA0NIR6,ci5dq5w4o4e,19:21:27 Tue 01 Sep 15,97.77.220.82
54,24,Positive,596002,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",A3HV3LXW29N30Q,imvuzoiqx4y7rpb9,19:21:34 Tue 01 Sep 15,69.47.122.57
55,40,Uniform,591136,"Mozilla/5.0 (Windows NT 6.1 WOW64 rv:40.0) Gecko/20100101 Firefox/40.0",A34ZSF2JSRXIRP,cxfz7g5nwsw,19:21:43 Tue 01 Sep 15,45.37.51.102
56,29,Both,600223,"Mozilla/5.0 (Windows NT 6.3 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",A2YCMT5BPA0AG9,fs8u86kga11exw29,19:21:45 Tue 01 Sep 15,76.105.174.144
57,61,Uniform,576126,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",A2J7PEUIO2WVUN,es2la48dpjf0qkt9,19:21:53 Tue 01 Sep 15,24.119.254.163
58,27,Positive,617966,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",A2FUPODRRCESB,88ub7icmdndn29,19:22:01 Tue 01 Sep 15,184.166.208.134
59,33,Positive,633001,"Mozilla/5.0 (Windows NT 6.1 WOW64 rv:40.0) Gecko/20100101 Firefox/40.0",A8L450UGY77XB,qncl6a36i6,19:22:21 Tue 01 Sep 15,137.99.167.80
60,59,Both,615003,"Mozilla/5.0 (Windows NT 6.3 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",A3GQRD3530XFM3,a1eby9k14hadcxr,19:22:30 Tue 01 Sep 15,68.36.143.73
61,50,Both,639193,"Mozilla/5.0 (Windows NT 6.1 WOW64 rv:40.0) Gecko/20100101 Firefox/40.0",A3E8SXH0BAYG85,zepis0hfo,19:22:41 Tue 01 Sep 15,75.142.137.145
62,70,Uniform,612475,"Mozilla/5.0 (Windows NT 6.1 WOW64 rv:40.0) Gecko/20100101 Firefox/40.0",A3JI3B5GTVA95F,udwsal26ay,19:22:42 Tue 01 Sep 15,71.196.89.171
63,20,Both,671178,"Mozilla/5.0 (Windows NT 6.3 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",A24N00FSJO3DZP,dhcj1synraa714i,19:22:47 Tue 01 Sep 15,98.148.176.87
64,4,Uniform,686272,"Mozilla/5.0 (Windows NT 6.3 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",AS4WHZ0EVURW,f5k9k1drkcdqjjor,19:22:47 Tue 01 Sep 15,173.52.251.186
